PERSON,Time,Activity,Pain,Gain
6210422006,6:40,ตื่นนอน,ง่วงงัวเงียง้วนง้วน,ได้เริ่มวันใหม่
6210422006,6:41,เล่นโทรศัพท์ Check E-Mail/Line/Teams,เจอความเครียดจากงานแต่เช้า,มีเวลาเตรียมตัวทำงาน / Organize&Priorities งาน
6210422006,6:45,แปรงฟัน,ใช้เวลา บางทีรีบแปรงโดนเหงือก,ปากสะอาด สดชื้น
6210422006,6:50,อาบน้ำ,สบู่/ยาสระผมหมด แล้วขี้เกียจออกมาเอาใหม่,ร่างกายสะอาด
6210422006,7:00,แต่งตัว/ทาครีมบำรุง,ครีมหลายชั้นใช้เวลา เครื่องแต่งกายใช้เวลา,ผิวดี ปากไม่แห้ง แต่งตัวดูภูมิฐาน
6210422006,7:10,ขับรถออกจากบ้าน,รถติด,ฟัง Podcast/เพลง + มีเวลาคิดงาน
6210422006,7:30,ถึงที่ทำงาน เริ่มประชุมตอนเช้า (ด้วย MS Team),บางครั้งมีเสียงไมค์ตีกัน,รู้เรื่องสำคัญ ในวัน ได้ตัดสินใจแนวทางทำงานในวันของทีม
6210422006,8:30,ถึงที่ทำงาน เริ่มประชุมตอนเช้า (ด้วย MS Team),Session ที่ไม่ใช่ของตัวเองมีเยอะ,รู้เรื่องสำคัญ ในวัน ได้ประสานงานแนวทางทำงานในวันของทีม ระหว่างหน่วยงาน
6210422006,9:00,ไปซื้อข้าวเช้า และกินข้าวเช้า,ขี้เกียจไปซื้อ บางครั้งเจอนาย,อิ่มท้อง
6210422006,9:30,agile meeting กับ top 3 project,ประชุมบ่อยเกินไป (ทุกวัน) ไม่ค่อยมีไรอัพเดท,ได้รู้สเตตัสของโปรเจคในภาพรวม
6210422006,10:00,เริ่ม Focus งาน,ชอบมีสายเข้ามา กวน,ได้ความคืบหน้าของงาน
6210422006,12:00,ออกไปกินข้าว,ขับรถออกไปกิน เปลืองน้ำมัน + แดดร้อน,กับข้าวอร่อยกว่าโรงอาหาร
6210422006,13:00,ไปร้านชาไข่มุก,อ้วน,อร่อย มีความสุข
6210422006,13:30,กลับเข้ามาทำงาน,เริ่มง่วง (กินเยอะ),ได้ความคืบหน้าของงาน
6210422006,14:00,จังหวะปวดฉี่,ขี้เกียจเดินไปห้องน้ำ,โล่ง
6210422006,14:05,ทำงานต่อ,-,ได้ความคืบหน้าของงาน
6210422006,14:30,เปิด Streaming ดูหุ้นไทย,เสียสมาธิในการทำงาน,ได้ดูความเป็นไปของตลาดหุ้น
6210422006,14:35,ทำงานต่อ,-,ได้ความคืบหน้าของงาน
6210422006,16:30,ขับรถออกจากที่ทำงาน,รถติด,ฟัง Podcast/เพลง
6210422006,17:00,ถึงบ้าน ไปให้อาหารนกแก้ว,ร้องเสียงดัง รำคาญ,เอ็นดูนกแก้ว
6210422006,17:30,ออกไปกินข้าว,ไม่รู้จะกินอะไร,อิ่มท้อง
6210422006,18:30,กลับมานอนเล่นโทรศัพท์บนเตียง,-,ผ่อนคลาย
6210422006,19:30,เปิดคอมทำงาน เล่นเน็ต,-,ได้ทำงานเพิ่มอีกหน่อย/ผ่อนคลาย
6210422006,21:00,อาบน้ำ + แปรงฟัน,ขี้เกียจ,ร่างกายสะอาด
6210422006,21:30,ทาครีมบำรุง,ครีมหลายชั้นใช้เวลา เครื่องแต่งกายใช้เวลา,ผิวดี ปากไม่แห้ง
6210422006,21:45,นอนเล่นโทรศัพท์ / ดูทีวี (netflix),ไม่รู้จะดูอะไร,ผ่อนคลาย
6210422006,23:00,ปิดไฟนอนหลับ,ขี้เกียจลุก,นอน
6210422007,6:30,ตื่นมาเลื่อนนาฬิกาปลุก,ง่วงมาก,ได้พักผ่อน
6210422007,6:45,ตื่นมาเลื่อนนาฬิกาปลุก,ง่วงมาก,ได้พักผ่อนต่อ
6210422007,7:00,ตื่นมาเลื่อนนาฬิกาปลุก,ง่วงมาก,ได้พักผ่อนต่อ
6210422007,7:15,ตื่นมาเลื่อนนาฬิกาปลุก,ง่วงมาก,ได้พักผ่อนต่อ
6210422007,7:30,ตื่นและลุกไปอาบน้ำ แต่งตัว,นอนไม่พอเพราะตื่นมาเลื่อนนาฬิกาปลุกทุก 15 นาที,สดชื่นหายง่วง
6210422007,8:00,ขับรถไปทำงาน,รถติด,ฟังเพลงเพลินๆ
6210422007,8:45,เก็บของที่โต๊ะทำงาน แล้วออกไปกินข้าวเช้า,,อิ่ม พร้อมเริ่มงาน
6210422007,9:10,เริ่มทำงาน เช็ค Email,Email ค้างเยอะ,
6210422007,10:00,ประชุมผ่าน MS Team,,สามารถคุยกับทีมที่ต่างประเทศได้สะดวก
6210422007,11:30,กินข้าวเที่ยง,กินอะไรดี,เพื่อนช่วยคิดร้าน
6210422007,12:30,ไปร้านกาแฟ,,เติมความหวานให้ชีวิต
6210422007,13:00,กลับมาทำงาน,ง่วงเพราะกินเยอะ,
6210422007,17:00,เลิกงาน นั่งรอเพื่อนไปกินข้าวเย็นด้วยกัน,หิว,ได้งานเพิ่มขึ้นช่วงรอเพื่อนเลิกงาน
6210422007,18:00,ขับรถกลับ,,ออกช้า รถเริ่มโล่ง
6210422007,18:30,กินข้าวเย็น,ไปร้านเดิมๆ,ได้กินข้าวพร้อมกับเพื่อนๆ
6210422007,19:30,ขับรถกลับ,,มีเพื่อนนั่งด้วย ไม่เหงา
6210422007,19:45,ถึงบ้าน เก็บของ อาบน้ำ,,สดชื่น พร้อมนอน
6210422007,20:15,เล่นโทรศัพท์มือถือ เล่น Facebook อ่านหนังสือการ์ตูน,รู้สึกผิด การบ้านยังไม่เสร็จ,สนุก
6210422007,22:00,นอน,,ได้พักผ่อน
6210422010,6.30,ตื่นนอน อาบน้ำ แปรงฟัน,ง่วง,ตื่นเช้า ประปรี้ประเปร่า
6210422010,7.30,ขับรถไปทำงาน,รถติด,กินข้าวฟังเพลงบนรถ
6210422010,8.30,ถึงที่ทำงาน,คล้ายจะขี้เกียจทำงาน,ได้ที่จอดรถในชั้นที่เดินเข้าตึกได้ง่าย
6210422010,8.45,เดินไปร้านกาแฟ,ช่วงเวลาคนเยอะ ต่อคิวนาน,"เจอคู่รักใหม่มาแอบจิบกาแฟ , ได้ฟังเรื่องชาวบ้านที่เค้ามาเม้ามอยกัน , นึกงานออก"
6210422010,9.30,ประชุมกับผู้บริหาร,หาข้อสรุปไม่ได้,ทุกคนมีข้อเสนอแนะเยอะมาก
6210422010,11.30,ประชุมเลิก กลับมาที่โต๊ะทำงาน,เริ่มหิว,ประชุมกลุ่มย่อย หาร้านกินข้าวกลางวัน
6210422010,11.40,ออกไปทานข้าวกลางวัน,อิ่มเกินไป,"ได้กินของอร่อย , ได้ข้อสรุปงานที่คิดไม่ออกเมื่อวันก่อน"
6210422010,13.15,ทำงาน,กินเยอะ เริ่มง่วง,ได้งานแน่นอน
6210422010,14.00,ประชุมกับหน่วยาน,หาข้อสรุปไม่ได้,บริษัทจ้างมาประชุม อย่างน้อยก็มีงานทำ
6210422010,15.00,จิบกาแฟยามบ่าย,กินกาแฟตอนนี้ น่าจะไม่ได้นอน,ตาค้าง มีเอเนอยี่สูง พร้อมทำงานต่อ
6210422010,15.15,ทำงาน,,
6210422010,15.30,ประชุม,ได้ข้อสรุปจากการประชุมเรื่องเดิมใน ครั้งที่ 3,ได้ข้อสรุป
6210422010,16.30,ทำงาน,,
6210422010,17.15,คุยกับเพื่อนร่วมงาน เย็นนี้ไปร้านไหนดี,เพื่อนงานยังไม่เสร็จ ดองไว้เยอะ,ได้ร้านที่จะไป
6210422010,18.00,ทานอาหารเย็นกับเพื่อน,ทุกคนหิว อาหารหมดไวมาก,"นินทาหัวหน้า, ได้ข้อสรุปจากเรื่องที่ประชุมเมื่อวันก่อน !!"
6210422010,18.30,จิบไวน์,เมา,รอสร่างเมา เจอตำรวจไม่โดนเป่า
6210422010,20.00,ถึงบ้าน,แม่สงสัย ทำไมกลับไว,มีเวลาทำอย่างอื่นต่อ
6210422010,20.30,อาบน้ำ,ขี้เกียจ หนาววว,ตัวหอม สร่างเมา ตาสว่าง
6210422010,20.45,อ่านหนังสือ ทำงานนอก,ขี้เกียจ เหนื่อย,ได้งาน ได้ความรู้
6210422010,23.30,ดูซีรีย์จีน,ขัดใจชะนีในเรื่อง มีแต่พระเอกแทนได้ไหม,พระเอกกล้ามหล่อมาก ได้ฝึกฟังภาษาจีนให้คุ้นหู 
6210422010,0.30,นอน,อยากดูซีรีย์ต่อ แต่ต้องนอน,นอนเยอะๆ แก่ช้า ไม่ต้องเสียตังไปฉีดโบ
6210422031,8:00,"ตื่นนอนจากนาฬิกาปลุก, เช็คโทรศัพท์มีข้อความอะไรบ้าง อัปเดตข่าวสารจาก twitter","รู้สึกไม่อยากลุกจากที่นอน, หมดเวลาไปกับการดูข้อความใน Social","ตื่นทันที, รับรู้ข่าวสารที่เกิดขึ้น ไม่ตกข่าว"
6210422031,8:30,อาบน้ำ แต่งตัว เตรียมตัวทำงาน,ไม่สดชื่น ไม่พร้อมเริ่มวันใหม่,กระปี้กระเปร่า ตาสว่าง
6210422031,9:00,เริ่มทำงาน WFH,เบื่อ ,ไม่ต้องเดินทาง
6210422031,10:45,พักเบรค หาอะไรรองท้อง,หิว ไม่มีพลังในการทำงาน,อิ่ม มีแรงในการทำงาน
6210422031,11:00,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จทันตามแผน
6210422031,12:00,พักเบรคเที่ยง กินข้าว อ่านนิยาย 1 ตอน เช็คข่าวใน Social เล่นเกมส์ 1 รอบ,หิว ไม่มีพลังในการทำงาน เบื่อ,อิ่ม มีพลังในการทำงาน ได้พักคลายเครียดทำในสิ่งที่รู้สึกชอบ
6210422031,13:00,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จทันตามแผน
6210422031,14:30,พักเบรค,เบื่อ ,ได้พักเติมพลัง
6210422031,14:45,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จทันตามแผน
6210422031,17:30,พักเบรคงาน ช่วงเย็น ออกจากบ้านไปหาของกิน ไปซื้อของที่ตั้งใจจะซื้อ,ต้องขับรถออกจากบ้าน,ได้ของกิน ได้ของที่ตั้งใจจะซื้อ ได้ออกไปผ่อนคลาย
6210422031,18:30,ถึงบ้าน เก็บของ,บ้านรก,อยู่ในที่คุ้นเคย สบายใจ บ้านเป็นระเบียบ
6210422031,19:00,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จก่อนเวลา เคลียร์ออกได้
6210422031,21:00,อาบน้ำ,รู้สึกเหนียวตัว สกปรก,รู้สึกสดชื่น สะอาด
6210422031,21:30,นั่งคุยกับพี่สาว เล่นกับแมว,รู้สึกเครียดจากงาน,ได้มีปฏิสัมพันธ์กับครอบครัวและแมว ได้ระบายความเบื่อ แมวไม่เหงา
6210422031,22:00,"เวลาผ่อนคลาย ดู youtube, อ่านนิยาย, social",รู้สึกเครียดจากงาน,ผ่อนคลาย มีความสุข รู้เหตุการณ์ที่เกิดขึ้นในวันนี้มีอะไรบ้าง
6210422031,00:00,นอน,ง่วง,พักผ่อน
